t,solar,wind,year
527,0,0.081,2000
528,0,0.051,2000
529,0,0.03,2000
530,0.446,0.016,2000
531,0.728,0.01,2000
532,0.804,0.018,2000
533,0.826,0.02,2000
534,0.818,0.03,2000
535,0.797,0.042,2000
536,0.783,0.054,2000
537,0.773,0.064,2000
538,0.744,0.074,2000
539,0.671,0.089,2000
540,0.488,0.104,2000
541,0.076,0.135,2000
542,0,0.169,2000
543,0,0.137,2000
544,0,0.071,2000
545,0,0.019,2000
546,0,0.001,2000
547,0,0,2000
548,0,0.006,2000
549,0,0.03,2000
550,0,0.051,2000
551,0,0.058,2000
552,0,0.062,2000
553,0,0.064,2000
554,0.422,0.061,2000
555,0.691,0.017,2000
556,0.775,0.022,2000
557,0.8,0.04,2000
558,0.793,0.058,2000
559,0.776,0.077,2000
560,0.763,0.092,2000
561,0.75,0.104,2000
562,0.713,0.127,2000
563,0.622,0.172,2000
564,0.385,0.222,2000
565,0.037,0.259,2000
566,0,0.306,2000
567,0,0.262,2000
568,0,0.165,2000
569,0,0.101,2000
570,0,0.075,2000
571,0,0.072,2000
572,0,0.079,2000
573,0,0.086,2000
574,0,0.104,2000
575,0,0.109,2000
576,0,0.122,2000
577,0,0.139,2000
578,0.277,0.134,2000
579,0.575,0.216,2000
580,0.744,0.276,2000
581,0.802,0.318,2000
582,0.798,0.358,2000
583,0.78,0.353,2000
584,0.768,0.307,2000
585,0.756,0.258,2000
586,0.725,0.229,2000
587,0.648,0.224,2000
588,0.457,0.225,2000
589,0.071,0.251,2000
590,0,0.377,2000
591,0,0.463,2000
592,0,0.471,2000
593,0,0.319,2000
594,0,0.198,2000
595,0,0.146,2000
596,0,0.12,2000
597,0,0.121,2000
598,0,0.146,2000
599,0,0.164,2000
600,0,0.209,2000
601,0,0.271,2000
602,0.332,0.291,2000
603,0.64,0.482,2000
604,0.772,0.563,2000
605,0.806,0.549,2000
606,0.802,0.533,2000
607,0.785,0.502,2000
608,0.772,0.463,2000
609,0.762,0.416,2000
610,0.731,0.399,2000
611,0.655,0.384,2000
612,0.468,0.355,2000
613,0.078,0.311,2000
614,0,0.397,2000
615,0,0.455,2000
616,0,0.416,2000
617,0,0.301,2000
618,0,0.231,2000
619,0,0.254,2000
620,0,0.233,2000
621,0,0.222,2000
622,0,0.208,2000
623,0,0.203,2000
624,0,0.197,2000
625,0,0.186,2000
626,0.386,0.149,2000
627,0.684,0.345,2000
628,0.771,0.483,2000
629,0.791,0.438,2000
630,0.792,0.39,2000
631,0.776,0.342,2000
632,0.761,0.304,2000
633,0.747,0.281,2000
634,0.714,0.276,2000
635,0.633,0.283,2000
636,0.437,0.288,2000
637,0.065,0.284,2000
638,0,0.38,2000
639,0,0.373,2000
640,0,0.309,2000
641,0,0.279,2000
642,0,0.229,2000
643,0,0.217,2000
644,0,0.222,2000
645,0,0.217,2000
646,0,0.204,2000
647,0,0.196,2000
648,0,0.193,2000
649,0,0.191,2000
650,0.278,0.188,2000
651,0.575,0.491,2000
652,0.686,0.59,2000
653,0.732,0.537,2000
654,0.734,0.473,2000
655,0.727,0.415,2000
656,0.716,0.361,2000
657,0.698,0.322,2000
658,0.658,0.323,2000
659,0.563,0.357,2000
660,0.3,0.38,2000
661,0.037,0.37,2000
662,0,0.394,2000
663,0,0.369,2000
664,0,0.304,2000
665,0,0.259,2000
666,0,0.224,2000
667,0,0.214,2000
668,0,0.217,2000
669,0,0.208,2000
670,0,0.186,2000
671,0,0.165,2000
672,0,0.16,2000
673,0,0.166,2000
674,0.226,0.167,2000
675,0.484,0.508,2000
676,0.641,0.596,2000
677,0.719,0.549,2000
678,0.75,0.486,2000
679,0.746,0.409,2000
680,0.722,0.337,2000
681,0.701,0.276,2000
682,0.614,0.274,2000
683,0.471,0.296,2000
684,0.256,0.297,2000
685,0.029,0.271,2000
686,0,0.311,2000
687,0,0.336,2000
688,0,0.39,2000
689,0,0.293,2000
690,0,0.192,2000
691,0,0.158,2000
692,0,0.157,2000
693,0,0.194,2000
694,0,0.212,2000
695,0,0.211,2000
696,0,0.204,2000
697,0,0.206,2000
698,0.334,0.181,2000
699,0.616,0.404,2000
700,0.767,0.487,2000
701,0.794,0.496,2000
702,0.788,0.488,2000
703,0.771,0.439,2000
704,0.758,0.355,2000
705,0.746,0.272,2000
706,0.715,0.25,2000
707,0.639,0.268,2000
708,0.451,0.288,2000
709,0.071,0.316,2000
710,0,0.409,2000
